LAT,LON,depth
17.77556,83.18611,3.36
17.81389,82.81667,1.83
17.88333,83.43333,6.2
17.89194,83.37111,22.6
17.825,83.24,1.65
9.4625,77.54167,5.5
9.416944,77.75056,7.2
9.45,77.79167,4.07
9.5125,78.09583,6.1
9.5,77.63333,10.05
9.498611,77.7,10.95
11.73611,78.85,11.38
11.71667,79.17917,6.7
11.66111,79.29444,11.5
11.625,79.19444,4.85
11.6875,79.3,7.58
11.74167,78.96667,10.48
11.72,79.07778,5.51
11.73056,79.09167,3.52
11.73194,79.125,6.51
11.76722,78.87,5.99
11.8,79.09167,8.05
11.9,79.05,9
11.88333,78.91667,6.55
11.89389,78.91667,6.83
11.93833,78.88611,10.44
11.86778,79.16667,8.17
11.95833,79.21667,2.63
11.975,79.13333,9.91
11.99167,79.78333,5.75
11.97917,79.31861,4.5
12.10417,79.74167,5.7
12.225,79.66667,6.2
12.0375,79.5625,4.62
12.20833,79.95833,7.45
12.19583,79.76667,2.42
12.18333,79.66667,4.15
12.25278,79.5125,8.74
12.25,79.41667,6.04
24.06194,77.29306,5.85
23.66667,78.11389,7.04
23.66667,78.11444,7.22
23.84861,77.94222,7.72
23.80667,78.12361,3.38
23.73278,78.17639,10.43
23.79583,77.53056,4.5
23.76167,77.775,3.45
23.52556,77.82361,2.3
23.86306,77.92444,4.81
23.90083,78.055,3.14
23.97889,77.85083,1.12
23.77167,77.60917,6.92
24.125,78.04333,3.88
24.12611,78.03889,5.42
24.095,77.67556,10.51
24.09861,77.68861,5.45
24.11472,77.81917,2.77
24.0575,77.40722,6.35
24.16667,77.4425,2.38
24.15528,77.62139,1.39
23.56806,77.765,2.39
23.60778,77.57611,2.29
24.01029577,77.62092889,2.89
24.02022774,77.60597007,2.73
24.0301597,77.59101125,2.57
24.04009167,77.57605242,2.41
24.05002364,77.5610936,2.25
24.0599556,77.54613477,2.09
12.92083,79.57083,7.85
12.9375,78.725,10.7
12.94167,78.725,4.63
12.92917,79.34167,1.82
12.93333,79.35,1.46
12.9625,79.2875,3.84
12.99167,79.30833,7.62
13.1,79.43333,8.14
12.81667,79.30833,8.2
12.91389,79.29167,0.69
12.92222,79.08889,4.13
12.90833,79.35833,5.35
12.95556,78.99444,15.29
12.96111,78.98,16.05
13.02222,79.475,8.12
12.4625,78.46667,7.37
12.62222,78.75,5.93
12.76667,79.4125,11.08
12.725,78.65833,9.34
13.02222,79.475,8.12
12.4625,78.46667,7.37
12.62222,78.75,5.93
12.69167,78.625,2.59
12.70278,78.81667,13.37
12.87083,78.99167,4.98
12.9,79.325,2.92
25.27222,82.71111,11.8
25.27,82.85,15.2
25.3,82.95,7.5
25.33917,82.77333,5.69
20.325,72.84167,2.53
20.21667,72.84167,2.53
20.25833,72.88333,2.89
20.34167,73.21667,2.25
20.53639,73.17056,3.3
20.51667,73.2875,8.35
20.41389,73.12083,5.4
20.3625,72.975,3.5
20.46361,72.91806,2.15
20.46667,73.15833,3.5
20.63333,73.025,2.3
20.6,72.9,6.5
20.38028,72.90444,2.46
20.53083,73.1625,7.7
20.68861,72.94944,5.4
20.31306,73.37611,1.02
20.32833,73.32583,1.9
20.19167,72.75,2.4
25.70417,85.22917,5.7
25.9375,85.34583,2.55
25.92139,85.29,2.25
25.925,85.34111,4.63
25.63028,85.36167,4
25.63333,85.48361,3.4
25.64917,85.47139,3.59
